nombre,prices,"Beds, Bathroom, Square",links
"11620 Van Wyck Expy, Jamaica, NY 11420","$469,000","4 bds,2 ba,-- sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/11620-Van-Wyck-Expy-Jamaica-NY-11420/32174676_zpid/ "
"206 Perry Ave, Staten Island, NY 10314","$574,800","4 bds,3 ba,1,216 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/206-Perry-Ave-Staten-Island-NY-10314/32291028_zpid/ "
"224 Lefferts Ave APT 1, Brooklyn, NY 11225","$189,000","1 bd,1 ba,650 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/224-Lefferts-Ave-APT-1-Brooklyn-NY-11225/2103422698_zpid/ "
"336 King Ave, Bronx, NY 10464","$490,000","2 bds,2 ba,1,100 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/336-King-Ave-Bronx-NY-10464/29851027_zpid/ "
"110 Highland Pl, Brooklyn, NY 11208","$900,000","5 bds,3 ba,2,804 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/110-Highland-Pl-Brooklyn-NY-11208/30637571_zpid/ "
"43-20 219th St, Bayside, NY 11361","$925,000","3 bds,2 ba,-- sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/43-20-219th-St-Bayside-NY-11361/2076768443_zpid/ "
"13181 Francis Lewis Blvd, Laurelton, NY 11413","$299,000","3 bds,1 ba,1,479 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/13181-Francis-Lewis-Blvd-Laurelton-NY-11413/32200876_zpid/ "
"534 Graham Ave APT 16, Brooklyn, NY 11222","$359,000","2 bds,1 ba,-- sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/534-Graham-Ave-APT-16-Brooklyn-NY-11222/2085219837_zpid/ "
"20027 26th Ave, Flushing, NY 11360","$750,000","3 bds,2 ba,1,127 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/20027-26th-Ave-Flushing-NY-11360/32054482_zpid/ "
"6 Fordham Hill Oval APT 6G, Bronx, NY 10468","$275,000","2 bds,1 ba,965 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/6-Fordham-Hill-Oval-APT-6G-Bronx-NY-10468/244465965_zpid/ "
"163-45 Cross Bay Blvd, Howard Beach, NY 11414","$185,000","3 bds,2 ba,-- sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/163-45-Cross-Bay-Blvd-Howard-Beach-NY-11414/2080383358_zpid/ "
"9934 Bellaire Pl, Jamaica, NY 11429","$295,000","3 bds,1 ba,1,400 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/9934-Bellaire-Pl-Jamaica-NY-11429/32154005_zpid/ "
"113-34 200th St, Saint Albans, NY 11412","$679,000","5 bds,5 ba,2,200 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/113-34-200th-St-Saint-Albans-NY-11412/2080078407_zpid/ "
"8906 70th Ave, Flushing, NY 11375","$995,000","3 bds,3 ba,1,800 sqft- For sale by owner","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/8906-70th-Ave-Flushing-NY-11375/32020038_zpid/ "
"526 W 158th St APT 51, New York, NY 10032","$200,000","3 bds,1 ba,900 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/526-W-158th-St-APT-51-New-York-NY-10032/2106069796_zpid/ "
"18-70 211th St APT 2D, Bayside, NY 11360","$438,000","3 bds,2 ba,-- sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/18-70-211th-St-APT-2D-Bayside-NY-11360/89139258_zpid/ "
"3910 Clarendon Rd, Brooklyn, NY 11203","$725,000","3 bds,2 ba,1,280 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/3910-Clarendon-Rd-Brooklyn-NY-11203/30661709_zpid/ "
"303 E 57th St APT 27L, New York, NY 10022","$275,000","Studio,1 ba,-- sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/303-E-57th-St-APT-27L-New-York-NY-10022/120560948_zpid/ "
